,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years
15611169,S88QJ,434939,382961,14690119,149950,2007-09-21 00:00,S,1190329200.0,2007.0
15536728,S71FF,434927,385364,13309403,130000,2006-03-07 00:00,T,1141689600.0,2006.0
15612883,S89DH,434738,384078,22746367,129000,2017-06-27 00:00,F,1498518000.0,2017.0
15325542,S24TH,435172,385697,12109838,128500,2005-07-08 00:00,T,1120777200.0,2005.0
15540050,S72DZ,433849,384105,20507020,170000,2015-02-10 00:00,S,1423526400.0,2015.0
15615440,S89RG,435342,384629,20014143,136000,2015-08-07 00:00,S,1438902000.0,2015.0
15537008,S71GL,434574,385003,12000690,215033,2005-03-24 00:00,S,1111622400.0,2005.0
15614501,S89JN,435734,383576,20666487,170000,2015-05-06 00:00,S,1430866800.0,2015.0
15539529,S72BS,434254,384373,13913905,146500,2007-06-08 00:00,S,1181257200.0,2007.0
15605599,S80ZN,434957,385275,14663949,120000,2007-03-30 00:00,T,1175209200.0,2007.0
15286117,S119DR,433668,384849,15916677,290000,2009-12-04 00:00,F,1259884800.0,2009.0
15539691,S72DE,434144,384045,10418225,106000,2004-05-06 00:00,T,1083798000.0,2004.0
15540277,S72EN,433518,384162,14658407,217500,2007-08-31 00:00,S,1188514800.0,2007.0
15615451,S89RH,435634,384759,21007077,113000,2015-03-20 00:00,T,1426809600.0,2015.0
15602397,S80GG,434443,382732,17379344,180000,2011-03-03 00:00,D,1299110400.0,2011.0
15322309,S23EG,435656,385102,15627152,155000,2009-11-06 00:00,T,1257465600.0,2009.0
15604066,S80PA,434519,384029,18531700,92000,2013-08-09 00:00,T,1376002800.0,2013.0
15614859,S89NW,435626,383530,11966064,119999,2005-07-29 00:00,T,1122591600.0,2005.0
15281691,S118BZ,434868,385825,14648057,125000,2007-06-18 00:00,S,1182121200.0,2007.0
15286689,S119FR,433177,384421,11853227,178000,2005-12-02 00:00,S,1133481600.0,2005.0
15320891,S22GS,436781,384902,18922724,65000,2013-08-02 00:00,T,1375398000.0,2013.0
15284949,S118YG,433764,385664,13609646,170000,2006-03-07 00:00,T,1141689600.0,2006.0
15613795,S89GA,435244,384442,14287936,144950,2007-10-17 00:00,T,1192575600.0,2007.0
15615207,S89QS,435600,384478,14624729,120000,2007-11-09 00:00,F,1194566400.0,2007.0
15603078,S80JB,434744,382899,20338794,145100,2015-09-10 00:00,T,1441839600.0,2015.0
15610532,S88PF,435666,383233,19184845,105250,2014-12-18 00:00,F,1418860800.0,2014.0
15325477,S24TD,435175,385856,18868545,105000,2013-07-10 00:00,T,1373410800.0,2013.0
15537461,S71HH,434480,384954,6568113,88000,2001-12-18 00:00,T,1008633600.0,2001.0
15285172,S118ZH,433599,385771,14264347,476000,2007-02-08 00:00,T,1170892800.0,2007.0
15537122,S71GR,434581,384830,17229203,140000,2011-05-20 00:00,T,1305846000.0,2011.0
15323157,S23HU,436197,384985,16783380,124995,2010-06-28 00:00,T,1277679600.0,2010.0
15612544,S89BX,434935,384012,11833734,112500,2005-10-28 00:00,T,1130454000.0,2005.0
15323801,S23QS,436168,385489,21609909,180000,2016-07-28 00:00,S,1469660400.0,2016.0
15605111,S80SU,434342,383838,21755708,130000,2016-01-15 00:00,F,1452816000.0,2016.0
15536667,S71DX,434709,385190,21374848,235000,2016-04-15 00:00,T,1460674800.0,2016.0
15540407,S72GD,433518,383479,22356304,450000,2017-04-21 00:00,S,1492729200.0,2017.0
15540572,S72GP,433171,383783,9031106,171000,2003-08-29 00:00,S,1062111600.0,2003.0
15323225,S23HW,436039,384984,15013320,149995,2008-09-26 00:00,T,1222383600.0,2008.0
15602031,S80EH,433469,382583,13501294,215000,2006-09-22 00:00,S,1158879600.0,2006.0
15613475,S89FF,434977,384489,23512039,195000,2018-10-30 00:00,S,1540857600.0,2018.0
15615438,S89RG,435342,384629,19219671,115200,2014-08-08 00:00,T,1407452400.0,2014.0
15613754,S89FY,435079,384588,20006861,91000,2014-05-08 00:00,F,1399503600.0,2014.0
15286190,S119DW,433013,385179,20561764,420000,2015-11-18 00:00,T,1447804800.0,2015.0
15305062,S141AG,436725,382620,16827135,90000,2010-01-25 00:00,T,1264377600.0,2010.0
15536616,S71DU,434640,385107,18774616,240000,2013-12-10 00:00,T,1386633600.0,2013.0
15612638,S89BZ,435271,383965,19659058,66000,2014-03-10 00:00,F,1394409600.0,2014.0
15284505,S118XF,433431,385649,14252737,189950,2007-09-10 00:00,S,1189378800.0,2007.0
15323845,S23QX,436259,385768,20651078,180000,2015-10-30 00:00,D,1446163200.0,2015.0
15285703,S119BQ,433441,384752,18929982,249995,2013-08-27 00:00,D,1377558000.0,2013.0
15305081,S141AH,436871,382562,18076017,76300,2012-11-23 00:00,T,1353628800.0,2012.0
15536999,S71GL,434574,385003,8971254,75000,2003-11-07 00:00,T,1068163200.0,2003.0
15604738,S80RP,434796,384380,14148972,94300,2007-11-02 00:00,T,1193961600.0,2007.0
15536040,S71BW,434820,385640,14873369,130000,2007-11-30 00:00,T,1196380800.0,2007.0
15322095,S23BB,435883,384696,10804257,85500,2004-06-15 00:00,S,1087254000.0,2004.0
15283260,S118RY,433125,385961,10630201,185000,2004-05-17 00:00,T,1084748400.0,2004.0
15540576,S72GP,433171,383783,9869806,155000,2003-07-25 00:00,D,1059087600.0,2003.0
15605785,S80ZX,435121,385449,8854086,67000,2003-11-17 00:00,F,1069027200.0,2003.0
15539460,S72BQ,434184,384311,9828273,140000,2003-07-14 00:00,T,1058137200.0,2003.0
15282769,S118QE,433624,385829,24235465,190250,2019-03-01 00:00,T,1551398400.0,2019.0
15615526,S89SJ,435685,384735,8989828,92500,2003-07-22 00:00,S,1058828400.0,2003.0
15540714,S72GY,433308,383466,15857421,358000,2009-02-24 00:00,S,1235433600.0,2009.0
15614167,S89HT,435626,384104,17954206,150000,2012-03-23 00:00,S,1332460800.0,2012.0
15540065,S72EA,433583,384031,15748314,240000,2009-02-27 00:00,T,1235692800.0,2009.0
15537830,S71NA,434482,385458,8907299,128250,2003-10-10 00:00,D,1065740400.0,2003.0
15324055,S23SQ,436430,385518,13513871,93000,2006-04-28 00:00,F,1146178800.0,2006.0
15611831,S88SU,434937,383211,8721759,117500,2002-05-28 00:00,S,1022540400.0,2002.0
15611554,S88RL,435259,382826,9685476,96000,2003-02-21 00:00,S,1045785600.0,2003.0
15611909,S88SX,434949,383289,11021027,98500,2004-04-15 00:00,T,1081983600.0,2004.0
15284338,S118UT,433107,385339,22946618,375000,2017-08-04 00:00,T,1501801200.0,2017.0
15324722,S24EG,435560,385999,23525654,151500,2018-10-25 00:00,T,1540422000.0,2018.0
15601726,S80BT,433573,382166,10294152,200000,2004-01-28 00:00,D,1075248000.0,2004.0
15602261,S80EZ,433627,382789,16765729,206000,2010-11-05 00:00,S,1288915200.0,2010.0
15305826,S141PE,436303,384518,19785168,68000,2014-02-21 00:00,T,1392940800.0,2014.0
15537835,S71NA,434482,385458,12080490,175250,2005-12-20 00:00,F,1135036800.0,2005.0
15539450,S72BP,433897,383620,9768315,81000,2003-10-16 00:00,D,1066258800.0,2003.0
15613799,S89GA,435244,384442,15458914,138000,2008-06-06 00:00,T,1212706800.0,2008.0
15281277,S118AL,434786,385775,18010341,50000,2012-07-26 00:00,T,1343257200.0,2012.0
15285187,S118ZJ,433996,385818,20227855,116000,2015-05-28 00:00,F,1432767600.0,2015.0
